Park,Restaurant,Item,Price,Details,Ratings,Review_Count,Image_URL,Meal
Universal Studios,TODAY CAFE,Egg White Florentine,$10.99 ,"cheddar cheese, oven roasted tomato, spinach on ciabatta with fresh fruit",,,,Breakfast
Universal Studios,TODAY CAFE,"Ham, Egg & Cheese",$10.99 ,"shaved ham, cheddar cheese on ciabatta with fresh fruit",4.8,150,https://raw.githubusercontent.com/fljerry64/my-menu-app/main/HamEggCheeseTodayCafe.png,Breakfast
Universal Studios,TODAY CAFE,"Breakfast Sandwich, Everything Croissant",$11.49 ,"sausage, egg, cheese, smashed avocado and Divina tomatoes on an everything bagel seasoning croissant served with a side of fruit",,,,Breakfast
Universal Studios,TODAY CAFE,Sweet & Salty Granola Yogurt,$6.99 ,"honey vanilla yogurt, pecan, almond and coconut granola served with fresh strawberries, blueberries and orange blossom honey",,,,Breakfast
Universal Studios,TODAY CAFE,Fruit Bowl,$6.29 ,,,,,Breakfast
Universal Studios,TODAY CAFE,Strawberry Overnight Bowl,$6.99 ,"mixed berry overnight oats, strawberries, blueberries",,,,Breakfast
Universal Studios,TODAY CAFE,Mardi Gras Exclusive Desserts,$7.49 ,choose from a selection of Mardi Gras themed desserts,,,,Dessert
Universal Studios,TODAY CAFE,Assorted Cookies,$5.29 ,assorted cookies,,,,Dessert
Universal Studios,TODAY CAFE,"Danishes, Croissants & Kruffins",$5.29 ,"assorted danishes, croissants and kruffins",,,,Breakfast
Universal Studios,TODAY CAFE,"Muffins, Brioche & Cupcakes",$5.49 ,"assorted muffins, brioche and cupcakes",,,,Breakfast
Universal Studios,TODAY CAFE,Eclairs,$6.29 ,chocolate or vanilla,,,,Dessert
Universal Studios,TODAY CAFE,Cakes & Tart,$7.29 ,"assorted cakes, tarts and tortes",,,,Dessert
Universal Studios,TODAY CAFE,Craig's Artisan Chicken Salad BLT Platter,$16.99 ,"chicken salad with toasted walnuts, apples, jalapeño bacon, lettuce, tomato on a cranberry artisan bread",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,The Carnegie Platter,$16.99 ,"hot piled high pastrami, Swiss cheese, deli mustard, toasted rye served with potato salad",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,The Big Apple Cheese Platter,$15.99 ,"Cheddar, Swiss, pepper jack, red delicious apples, roasted tomatoes on grilled farmhouse white bread served with fresh fruit",,,,Lunch/Dinner
Universal Studios,TODAY CAFE,30 Rock Midtowner Platter,$16.99 ,"shaved roasted turkey, smoked gouda, tomato aioli, pressed cranberry artisan bread served with potato salad",,,,Lunch/Dinner
